id,name,pre_re
1,BTECH,"[1,2,6]"
2,DEGREE,"[1,2,3,4,5,6,7]"
3,CA,"[3,5]"
4,MBBS,"[2,6]"
5,B.PHARM,"[1,2,6]"
6,B.ARC,"[1,6]"
7,LLB,"[3,4]"
